mission,event,met_time,value,unit,description,source_doc,source_section,confidence
Apollo 13,S-II center engine early cutoff,~00:05:32,132,seconds early,"Center engine of S-II shut down ~132 sec early (structural/POGO); remaining 4 engines burned ~34 sec longer than predicted",Apollo 13 Mission Report (MSC-02680),Sec 4.0 / 8.3,CONFIRMED-PRIMARY
Apollo 13,Earth parking orbit insertion,00:12:30,"102.6 x 100.1",statute miles,"Actual apogee/perigee at insertion; velocity 25,565 ft/sec",Apollo 13 Mission Report (MSC-02680),Sec 8.3,CONFIRMED-PRIMARY
Apollo 13,Translunar Injection (TLI),02:35:46.4 (ignition) - 02:41:37.2 (cutoff),1.2,ft/sec,S-IVB TLI cutoff velocity within 1.2 ft/sec of planned; entry monitor system confirmed within 3 ft/sec,Apollo 13 Mission Report (MSC-02680),Sec 4.0 / 8.5,CONFIRMED-PRIMARY
Apollo 13,Pericynthion altitude after TLI (pre-midcourse),,415.8,statute miles,"High-pericynthion free-return translunar profile achieved by S-IVB targeting, before the first midcourse maneuver lowered it",Apollo 13 Mission Report (MSC-02680),Sec 4.0,CONFIRMED-PRIMARY
Apollo 13,First midcourse correction (to non-free-return),30:40:49.65 - 30:40:53.14,23.2,ft/sec,"SPS burn, 3.49 sec duration, intentionally placed spacecraft on non-free-return (landing) trajectory",Apollo 13 Mission Report (MSC-02680),Sec 4.0 / 5.6,CONFIRMED-PRIMARY
Apollo 13,Cryogenic oxygen tank incident,~55:54:53,,,"Loud noise / master alarm; oxygen tank 2 pressure loss within ~100 sec; primary electrical power lost",Apollo 13 Mission Report (MSC-02680),Sec 1.0 / 8.7.3,CONFIRMED-PRIMARY
Apollo 13,Second midcourse correction (restore free-return),61:29:43.49 - 61:30:17.72,"34.2 (table) / 38 (narrative text)",seconds / ft-per-sec,"DPS burn duration 34.2-34.3 sec (NOT the commonly cited '35 seconds'); velocity change reported as 37.8 ft/sec in maneuver table vs 38 ft/sec in narrative text (rounding)",Apollo 13 Mission Report (MSC-02680),Sec 4.0 / 6.6 / Table 4-III,CONFIRMED-PRIMARY
Apollo 13,Second midcourse - resultant pericynthion altitude,,PENDING-OCR,statute miles,"Table 4-III value garbled in OCR extraction (shows partial figures); widely-cited secondary value is ~156 mi / 251 km but this needs verification directly against the table image before use",Apollo 13 Mission Report (MSC-02680),Table 4-III,TO_BE_RE-VERIFIED
Apollo 13,Predicted landing point if no further burn,,152,hours MET,"Second midcourse alone would have produced Indian Ocean splashdown near Mauritius at ~152 hr",Apollo 13 Mission Report (MSC-02680),Sec 4.0,CONFIRMED-PRIMARY
Apollo 13,Transearth Injection / PC+2 burn,79:27:38.95 - 79:32:02.77,860.5,ft/sec,"DPS burn, 263.8 sec duration (~4.4 min), performed 2 hr after pericynthion; shortened transearth transit by ~9 hr; moved predicted splashdown to Pacific at 142:53:00",Apollo 13 Mission Report (MSC-02680),Sec 4.0 / 6.6,CONFIRMED-PRIMARY
